invoice_no,delivery_date,fuel_type,quantity,unit,cost_aud,site_area,source_row,delivery_date_raw,delivery_month,date_precision
INV-40641,2025-12-19,Diesel,96595.0,L,182946.64,Processing Plant,2,2025-12-19,2025-12,day
INV-40624,,Diesel,71053.0,L,132182.58,Open Cut - North Pit,3,Oct-25,2025-10,month
INV-40896,2026-05-21,Diesel,42324.0,L,81992.56,Haul Fleet,4,21/05/2026,2026-05,day
INV-40737,,Diesel,50247.0,L,89551.63,Processing Plant,5,Feb-26,2026-02,month
INV-40497,,Diesel,36216.0,L,62447.14,Processing Plant,6,Aug-25,2025-08,month
INV-40759,2026-02-27,Diesel,48191.0,L,89924.38,Site Services,7,2026-02-27,2026-02,day
INV-40413,2025-06-18,Diesel,49429.0,L,94192.48,Open Cut - North Pit,8,2025-06-18,2025-06,day
INV-40521,2025-08-16,Diesel,51407.0,L,94460.47,Processing Plant,9,16/08/2025,2025-08,day
INV-40373,2025-05-10,Diesel,84030.0,L,152369.51,Open Cut - North Pit,10,10/05/2025,2025-05,day
INV-40263,2025-02-02,Diesel,79189.0,L,145560.05,Processing Plant,11,02/02/2025,2025-02,day
INV-40470,2025-07-09,Diesel,60525.0,L,113369.91,Processing Plant,12,09/07/2025,2025-07,day
INV-40351,,Diesel,74878.0,L,129996.16,Open Cut - North Pit,13,May-25,2025-05,month
INV-40677,2026-01-10,Diesel,64430.00000000001,L,124449.79,Processing Plant,14,10/01/2026,2026-01,day
INV-40589,2025-10-08,Diesel,57529.0,L,105132.61,Haul Fleet,15,08/10/2025,2025-10,day
INV-40349,2025-05-09,Diesel,63515.0,L,118631.25,Open Cut - South Pit,16,09/05/2025,2025-05,day
INV-40312,2025-04-19,Diesel,105563.0,L,203082.12,Open Cut - North Pit,17,19/04/2025,2025-04,day
INV-40245,2025-02-14,Diesel,85380.0,L,164005.94,Haul Fleet,18,14/02/2025,2025-02,day
INV-40729,2026-01-15,Petrol (ULP),4183.0,L,7738.55,Light Vehicles,19,15/01/2026,2026-01,day
INV-40901,2026-05-06,Diesel,38735.0,L,72978.79,Haul Fleet,20,2026-05-06,2026-05,day
INV-40929,2026-06-09,Diesel,77529.0,L,140151.41,Open Cut - South Pit,21,2026-06-09,2026-06,day
INV-40232,,Diesel,93673.0,L,168569.84,Open Cut - North Pit,22,Jan-25,2025-01,month
INV-40915,2026-05-15,Petrol (ULP),5150.0,L,9527.5,Light Vehicles,23,15/05/2026,2026-05,day
INV-40258,2025-02-07,Diesel,103468.0,L,186724.12,Open Cut - South Pit,25,2025-02-07,2025-02,day
INV-40418,2025-06-10,Diesel,59850.0,L,108669.87,Open Cut - South Pit,26,10/06/2025,2025-06,day
INV-40822,2026-03-25,Diesel,159134.0,L,305321.08,Open Cut - North Pit,27,2026-03-25,2026-03,day
INV-40700,2026-01-19,Diesel,53865.0,L,96374.56,Site Services,28,19/01/2026,2026-01,day
INV-40223,2025-01-27,Diesel,79174.0,L,145519.9,Open Cut - South Pit,29,27/01/2025,2025-01,day
INV-40468,2025-07-09,Diesel,38159.0,L,65679.54,Haul Fleet,30,09/07/2025,2025-07,day
INV-40828,2026-03-15,Petrol (ULP),4066.0,L,7522.1,Light Vehicles,31,15/03/2026,2026-03,day
INV-40554,2025-09-14,Diesel,48420.0,L,85395.49,Haul Fleet,32,2025-09-14,2025-09,day
INV-40567,2025-09-13,Diesel,104234.0,L,189269.05,Site Services,33,2025-09-13,2025-09,day
INV-40815,2026-03-16,Diesel,100209.0,L,191171.8,Open Cut - South Pit,34,16/03/2026,2026-03,day
INV-40777,2026-02-10,Diesel,37102.0,L,67060.13,Open Cut - South Pit,35,10/02/2026,2026-02,day
INV-40898,2026-05-02,Diesel,59160.0,L,112037.19,Open Cut - South Pit,36,02/05/2026,2026-05,day
INV-40893,,Diesel,80330.0,L,148530.68,Open Cut - North Pit,37,May-26,2026-05,month
INV-40457,2025-07-26,Diesel,49771.0,L,88065.96,Open Cut - North Pit,38,26/07/2025,2025-07,day
INV-40800,2026-03-07,Diesel,74883.0,L,139008.85,Light Vehicles,39,07/03/2026,2026-03,day
INV-40366,2025-05-19,Diesel,99133.0,L,172767.2,Open Cut - North Pit,40,19/05/2025,2025-05,day
INV-40821,2026-03-24,Diesel,122810.0,L,233661.27,Open Cut - North Pit,41,24/03/2026,2026-03,day
INV-40841,2026-04-04,Diesel,57273.0,L,101352.77,Haul Fleet,42,04/04/2026,2026-04,day
INV-40447,2025-07-11,Diesel,39167.0,L,71374.2,Open Cut - North Pit,43,11/07/2025,2025-07,day
INV-40649,,Diesel,53060.0,L,94828.31,Processing Plant,44,Dec-25,2025-12,month
INV-40869,2026-04-15,Petrol (ULP),3990.0,L,7381.5,Light Vehicles,45,15/04/2026,2026-04,day
INV-40522,2025-08-15,Diesel,65232.0,L,114806.31,Open Cut - South Pit,46,15/08/2025,2025-08,day
INV-40751,2026-02-24,Diesel,67961.0,L,120384.57,Open Cut - North Pit,47,24/02/2026,2026-02,day
INV-40953,,Diesel,40043.0,L,75592.17,Haul Fleet,48,Jun-26,2026-06,month
INV-40791,2026-02-25,Diesel,43731.0,L,76164.98,Haul Fleet,49,25/02/2026,2026-02,day
INV-40597,2025-10-02,Diesel,51036.0,L,95549.34,Processing Plant,50,02/10/2025,2025-10,day
INV-40803,2026-03-22,Diesel,115595.0,L,215782.05,Open Cut - South Pit,51,22/03/2026,2026-03,day
INV-40860,,Diesel,87252.0,L,162505.97,Open Cut - South Pit,52,Apr-26,2026-04,month
INV-40887,2026-05-16,Diesel,59434.0,L,110617.85,Open Cut - North Pit,53,16/05/2026,2026-05,day
INV-40715,2026-01-26,Diesel,29261.0,L,56300.84,Haul Fleet,54,26/01/2026,2026-01,day
INV-40514,2025-08-09,Diesel,48397.0,L,88413.55,Haul Fleet,55,2025-08-09,2025-08,day
INV-40693,2026-01-23,Diesel,54227.0,L,97204.44,Open Cut - South Pit,56,23/01/2026,2026-01,day
INV-40292,2025-03-23,Diesel,74568.0,L,136748.68,Open Cut - North Pit,57,23/03/2025,2025-03,day
INV-40962,,Diesel,71897.0,L,132468.35,Processing Plant,58,Jun-26,2026-06,month
INV-40633,2025-10-15,Petrol (ULP),3891.0,L,7198.35,Light Vehicles,59,15/10/2025,2025-10,day
INV-40583,2025-09-15,Petrol (ULP),4492.0,L,8310.2,Light Vehicles,60,15/09/2025,2025-09,day
INV-40320,2025-04-14,Diesel,58039.0,L,112408.47,Haul Fleet,61,14/04/2025,2025-04,day
INV-40745,,Diesel,42233.0,L,75728.8,Open Cut - South Pit,62,Feb-26,2026-02,month
INV-40925,2026-06-05,Diesel,38877.0,L,72436.24,Haul Fleet,63,05/06/2026,2026-06,day
INV-40769,2026-02-16,Diesel,65196.0,L,118017.72,Open Cut - North Pit,64,16/02/2026,2026-02,day
INV-40916,,Diesel,59232.0,L,106843.27,Open Cut - South Pit,65,Jun-26,2026-06,month
INV-40572,2025-09-19,Diesel,78477.0,L,149236.62,Open Cut - South Pit,66,2025-09-19,2025-09,day
INV-40505,2025-08-13,Diesel,49276.0,L,94006.25,Open Cut - South Pit,67,13/08/2025,2025-08,day
INV-40217,2025-01-12,Diesel,83196.0,L,144967.86,Open Cut - South Pit,68,12/01/2025,2025-01,day
INV-40877,2026-05-15,Diesel,80390.0,L,144817.46,Site Services,69,15/05/2026,2026-05,day
INV-40717,,Diesel,50517.0,L,94777.55,Open Cut - North Pit,70,Jan-26,2026-01,month
INV-40707,,Diesel,31461.0,L,54487.38,Processing Plant,71,Jan-26,2026-01,month
INV-40249,2025-02-14,Diesel,46083.0,L,81762.52,Open Cut - North Pit,72,2025-02-14,2025-02,day
INV-40431,2025-06-04,Diesel,30812.0,L,57493.21,Light Vehicles,73,04/06/2025,2025-06,day
INV-40576,2025-09-04,Diesel,102712.0,L,182175.75,Processing Plant,74,04/09/2025,2025-09,day
INV-40543,,Diesel,74877.0,L,136588.96,Site Services,75,Aug-25,2025-08,month
