supplier_name,abn,category,fy_spend_aud,source_row,abn_normalized,supplier_name_normalized
Ironline Fuel Distributors Pty Ltd,63 004 085 616,Fuel supply,8940000,2,63004085616,ironline fuel distributors
Ironline Fuel Distributors P/L,,Fuel,1212000,3,,ironline fuel distributors
Queensland Grid Energy Retail,21 010 991 452,Electricity retail,3480000,4,21010991452,queensland grid energy retail
Blackwood Heavy Maintenance,84 112 334 908,Fleet maintenance,2150000,5,84112334908,blackwood heavy maintenance
Blackwood Heavy Maintanence,84 112 334 908,Fleet maintenance,415000,6,84112334908,blackwood heavy maintanence
Apex Drill & Blast Services,39 601 227 114,Drill and blast,4720000,7,39601227114,apex drill blast services
Coral Coast Camp Catering,77 098 445 231,Camp services,1890000,8,77098445231,coral coast camp catering
TerraForm Rehabilitation Co,5501822,Rehabilitation earthworks,960000,9,5501822,terraform rehabilitation co
SafeGuard PPE Supplies,,PPE and consumables,310000,10,,safeguard ppe supplies
Hinterland Water Solutions,48 155 209 667,Water treatment,725000,11,48155209667,hinterland water solutions
Pinnacle Survey & Spatial,12 088 771 034,Survey services,264000,12,12088771034,pinnacle survey spatial
Redgum Environmental Monitoring,90 143 556 872,Environmental monitoring,388000,13,90143556872,redgum environmental monitoring
Statewide Tyre Management,66 120 908 445,OTR tyres,1540000,14,66120908445,statewide tyre management
Bowen Basin Labour Hire,17 099 662 380,Labour hire,2960000,15,17099662380,bowen basin labour hire
Delta Comms & IT,53 134 887 209,IT and communications,445000,16,53134887209,delta comms it
